,changerate,lastmin,lastmax,valmax,valmin,changepercent,degree
302,-0.08262993899996525,-0.4088814295848834,-0.49920000813110826,-0.195283926564175,-0.20618555455129942,0.8420419252171857,3
303,-0.09135069095114323,-0.407934179409845,-0.5005822392837559,-0.3156966882298541,0.024524107144437368,0.4645939956537801,2
304,1.1690056029452947,6.056858815191935,4.4595798488653084,2.873509330851499,2.5052204885278484,0.14106719888514668,1
305,-0.1377229433899468,-0.2279566461525572,-0.3725978732978682,-0.14282556004625807,0.6760054622295352,-0.6677497930364366,-1
306,-0.13357020436557634,-0.24614384951329366,-0.38360452877265455,3.9430137731683246,9.807954350026716,-0.6677497930364366,-1
307,-0.12000459021929948,-0.283541286423808,-0.4165733014506192,1.8413699193357531,5.096685063436484,-0.5059863946521198,-1
308,0.22841021392538302,-0.4670425903322385,-0.14529763930693157,0.1253037985051702,-0.33662712387287996,1.4890955187544523,3
309,-0.1252647263168354,0.04977710516868915,-0.17063854377213733,-0.5016013615481857,-0.3248329325988459,-0.45206526185734763,-1
310,-0.1550260226581571,-0.16998493544020973,-0.3254996266150615,-0.3916965853463301,-0.05782131670593648,-0.775592058625981,-1
311,-0.5626865702171916,0.9462546708249904,0.449061756331531,-0.4362376882259771,-0.2030678087423946,-1.260882253778931,-2
312,-0.09481130680478529,-0.03926441128491643,-0.24205381999226272,0.14415494217685054,-0.244751302400231,-0.23638073067825885,1
313,0.007622922463019655,-0.4670425903322385,-0.13813051481172187,0.9669349358607662,-0.33662712387287996,0.24890946447469112,2
314,0.6859036297768633,1.2039067184354235,0.67815377144627,-0.21125264935304294,-0.16109291014940125,1.0038053236015023,3
315,-1.9303219555765332,-0.4670425903322385,6.873876928823093,-0.39903842999425276,-0.33662712387287996,-0.8834343242155254,-1
316,1.9940164224535615,1.8499313378115831,1.5778838643270607,-0.20034924544143795,-0.24237353657148808,1.9743857139074024,3
317,-0.08872062290237527,-0.3550776196427047,-0.4690980852512275,-0.2917578620609774,0.4010832483702088,0.1949883316799189,1
318,-0.10540079131692999,-0.4323353439188331,-0.5240801688787649,5.541119324176661,8.013281791174572,0.03322493329560225,1
319,-0.026429537536818204,-0.31491421222107835,-0.4390985498641354,-0.49745009635936954,-0.3227964516432305,1.2194898547805912,3
320,-0.09446524521942108,-0.40975289974591866,-0.5050360952200648,-0.28399607943768224,-0.11389721013008791,0.35675173006423555,2
321,-0.002758925097906522,-0.4670425903322385,0.32619676498507877,-0.3989889886693383,-0.33662712387287996,-0.12853846508871442,1
322,-0.1314938348533911,0.2077784343650871,-0.05903617663244327,-0.43768903575410983,-0.2163759334440795,-0.45206526185734763,-1
323,-0.07529343339024408,-0.3132091619060093,-0.4250458664788849,-0.44663211258085955,-0.29934845489582,0.1949883316799189,2
324,-0.09141990326821607,-0.4319943338558193,-0.5186024380145688,0.10903656741816675,-0.08500824690567937,0.9498841908067301,3
325,-0.23254381777973923,-0.23970254832303284,-0.3587755617713923,1.6035035010990288,1.2357082740112186,-1.7461724489318808,-3
326,-0.12388047997537859,0.5408315959085735,0.2110108355977798,-0.15923177513119524,-0.15677837628121988,-0.3981441290625755,-1
327,0.8104858005079774,2.228831407826926,1.3615902858109104,-0.4881990283021223,-0.27703119748770827,0.6263573940380968,2
328,-0.09612634082916928,-0.3499624686974976,-0.459652839041469,-0.1963022504921571,0.01002520312274893,-0.020696199499169968,1
329,-0.028367482414857755,0.1653416265233687,-0.058012301704556166,-0.34383096640856764,-0.18412875981480523,-0.020696199499169968,1
330,-0.161601192780077,-0.3112388815419295,-0.43272492843803817,-0.42834387089396286,-0.2908281669659109,-1.3148033865737032,-2
331,-0.06920274948783404,-0.10822422402770883,-0.295295316242392,-0.22298460379020485,0.5993755397786722,-0.020696199499169968,1
332,-0.06920274948783404,-0.09988842248737129,-0.26278728728197653,0.6575606924338709,1.5040425859104523,-0.0746173322939422,1
333,-0.07335548851220453,-0.3022210598755644,-0.4199520887126466,-0.36322985368982363,-0.1383310141004074,0.24890946447469112,2
334,0.10105955051135523,0.44610657840473783,0.11374271744850516,-0.4524196308714164,-0.29679728399436633,0.24890946447469112,2
335,-0.8852159677766315,2.327345426030915,1.597081519224944,-0.10941559392008443,-0.32731134307674464,-1.0991188553946143,-2
336,-0.2263147092431835,-0.2040859417415906,-0.3649188113387149,-0.4662340029851842,-0.21908827289463387,-1.6383301833423365,-3
337,0.0512266822189096,0.0058246970469093716,-0.15886398210143568,-0.29249518588916823,-0.09710535711388953,0.5185151284485523,2
338,-0.2982955189989383,1.976862861266723,1.3116763830764142,-0.11366638365375638,0.42761312075205765,-0.6138286602416643,-1
339,-0.08235308973167388,-0.12603252731842995,-0.3037422843974606,-0.09767693055067074,0.5414274179532621,-0.12853846508871442,1
340,-0.05003093765865704,-0.4670425903322385,-0.42422676653657526,-0.28041315857783905,-0.33662712387287996,0.6263573940380968,2
341,-0.03459659095141346,-0.15482893263959602,-0.31039747142872676,-0.4281976763622753,-0.2551947567339132,0.3028305972694634,2
342,-0.10110962765841384,-0.4670425903322385,-0.4556085330763149,0.4500123184598468,-0.33662712387287996,-0.18245959788348665,1
343,-0.011756526317375875,-0.005921205123566258,-0.2013547916087504,-0.39995152285808516,-0.2008730284566613,0.24890946447469112,2
344,0.056763667584736895,1.4047237555435552,0.9080136927569243,-0.44594876137396083,-0.2470938653655716,-0.18245959788348665,1
345,0.20141741026697496,0.4991525882068858,0.2212495848766508,-0.4416754337237091,-0.2573859833790596,0.4645939956537801,2
346,-0.06851062631710564,-0.4670425903322385,-0.2973430660981662,-0.3794134174633699,-0.33662712387287996,-0.020696199499169968,1
347,-0.24569415802357905,-0.013499206523873115,-0.2128733845474803,-0.43292835199107277,-0.3005981243983842,-1.260882253778931,-2
348,-0.07287100229269464,-0.39228560651821137,-0.4857872465757872,-0.18698798751088205,0.021933394689324034,0.8959630580119579,3
349,0.06368489929202101,-0.10216182290746334,-0.24230978872423448,-0.09323734304768945,-0.1577607832176999,0.8959630580119579,3
350,0.15712152734035661,0.8765370579421673,0.5373709688617935,-0.13022488967942236,0.18054055405190983,0.14106719888514668,1
351,1.0942563005066261,-0.4670425903322385,0.6133936822574109,1.4559806391603387,-0.33662712387287996,2.2439913778812635,3
352,-0.04913117753671011,-0.10898202416773951,-0.27404991148873464,-0.35080057720729485,-0.06842172331043175,0.08714606609037447,1
