"changerate","lastmin","lastmax","valmax","valmin","changepercent","degree"
1818,4671,6000,49766505798,4512764180,33,3
407,0,2144,1441606500008,0,20,3
-6440,15390,17580,86568874790,474338420,-39,-3
60,1499,1869,422534047888,69844527362,5,1
1620,18080,24080,45554104630,5726384890,8,1
300,0,7110,113016860150,0,5,1
170,2511,3211,173243594372,34039687008,6,1
2280,13500,17270,205883893340,17050866960,14,2
50,5740,6440,70443465980,7545513760,0,1
9100,103500,116980,250608727070,5636478010,7,1
681,3373,3880,73143030137,13164976860,19,2
3270,20100,23570,98156819970,9586101600,14,2
734,2910,3550,95851386190,13883676044,22,3
402,1555,2179,3558470061974,146234128248,23,3
1580,9740,12280,34973067120,8392303800,13,2
-980,12690,14370,211096576420,233177520,-8,-1
-6700,24700,28650,120001081150,691033200,-25,-3
880,6550,7640,40980753400,5892278730,11,2
-1800,0,24450,323466696800,0,-9,-1
476,1914,2550,163157082746,10258232913,21,3
1630,9070,11020,470678553740,7795325520,15,2
251,0,3630,182291236477,0,7,1
2940,15840,18440,63185891880,7332818420,17,2
165,2906,3606,1559593349440,297479054915,5,1
5020,26940,32300,81383391110,6940062170,17,2
-13650,21100,25600,41156537750,91698950,-57,-3
1177,2950,4149,179890960551,16197084777,32,3
711,2670,3589,47097466949,4715972675,23,3
243,1515,1815,105247164487,12454289054,14,2
137,0,4068,38749372954,0,4,1
266,1779,2251,1776378809582,214324735301,14,2
1040,5170,6600,638304113840,4341118400,17,2
2170,7820,10430,108658528910,11996336580,24,3
3560,21750,24000,46673249280,1629468390,15,2
-458,0,1389,46286431277,0,-36,-3
810,13420,14290,7422785120,306411180,6,1
-2690,31210,35080,12166059720,507906210,-10,-2
1230,7840,8760,15251961830,585638310,14,2
327,2475,2879,24603288396,3352603792,12,2
351,0,1338,309548569851,0,31,3
620,5270,6030,53351190490,3670561520,10,2
610,0,5700,50541771030,0,11,2
4260,23520,25600,7038931460,403218040,17,2
4150,30440,33900,62638801460,4864428290,12,2
200,28000,30700,43877150200,2209406200,0,1
1190,6180,7290,36076164120,4232943290,17,2
1550,9680,12050,50464484470,4387704440,14,2
-450,6000,7310,49374399840,25452600,-4,-1
2620,9030,11490,42559510110,3288180530,26,3
1300,26100,28150,91692025550,14963660000,4,1
3810,12030,13400,25950680570,518615290,30,3
350,32950,35500,199089268950,6570418100,1,1
-140,17410,19830,27932856160,3255406870,-2,-1
659,3410,4042,35951317604,4273645199,18,2
810,0,7710,82632087880,0,10,2
1350,6600,7310,19711350800,909251310,19,2
5260,22050,23820,11987377610,1203454210,23,3
10900,70250,86800,21769923950,470614250,13,2
1120,24500,25880,17371322850,1116800700,4,1
7900,27000,34500,72191609880,6625421890,26,3
3240,9930,11780,162138487110,1684582180,29,3
-2700,16180,17000,9739075100,456283260,-16,-2
1950,43750,46400,33873834050,2731630300,4,1
289,2232,2620,34408831569,2141482946,10,2
7980,20030,25140,65927632960,1573767840,35,3
2920,18890,20020,17605405400,3294772250,15,2
120,1460,1715,27577935244,2725374559,7,1
240,17120,18890,82940511490,11333089360,0,1
15,0,747,487060379261,0,1,1
300,11790,13150,75666729460,15303508100,2,1
691,2081,2951,827301417125,39842849485,28,3
-550,0,53550,21133036200,0,-1,-1
630,3801,4118,57361019649,3519201734,16,2
345,4074,4329,10842488836,3044405402,8,1
67,2815,3117,49396284052,6661936989,2,1
220,0,15800,221087690840,0,1,1
1590,9420,11710,54886015670,3895835050,15,2
3340,17390,20370,197031187380,5447042940,17,2
12300,104500,113850,243511727000,19844131100,11,2
396,2332,3051,51677651749,7139886181,15,2
5000,0,42560,92818699280,0,12,2
930,18350,23300,49903117850,6256340770,3,1
511,3240,3841,42121557631,4141816984,14,2
653,4607,5670,89961170066,6956927102,11,2
1280,7270,8570,59098798430,4525273680,16,2
34,1884,2106,91271053775,14249221638,1,1
6250,20800,29100,212174562050,7432010400,25,3
2080,0,13310,65678925740,0,17,2
1420,7870,10330,37645670310,5456424900,15,2
400,6430,7250,33183806580,7203351800,5,1
13800,0,27250,153801267520,0,60,3
2250,9050,12180,78064056370,5092382640,20,2
8050,0,62450,260421616250,0,13,2
1040,10960,11890,91188714060,31651841830,9,1
-120,5880,6300,40338099020,2662295900,-2,-1
3630,16280,17930,25774945350,2867212840,21,3
14990,27540,39680,205619372510,812308730,43,3
2880,18220,19860,14557879390,709213500,15,2
-5470,29000,30320,48246610040,1230939380,-19,-2
12600,49350,52550,13517219650,2624766650,24,3
-2950,28750,32450,16006238800,418806350,-10,-1
9800,50150,63900,117817405800,11142294300,16,2
1260,10730,11740,29349965740,1842684970,11,2
700,35800,37940,17342577170,421484640,2,1
983,2974,3558,131658354128,15934229355,29,3
10900,37600,42430,46502766170,2619535040,27,3
-4380,24670,26000,24748223320,270594850,-18,-2
950,9300,10000,47585256380,9598778210,9,1
3300,36550,40600,28215471900,65914800,9,1
1110,18160,19870,275776974580,27608552440,5,1
2650,0,21750,37936306650,0,12,2
-90,24910,27200,49205478180,9521559690,-1,-1
155,2170,2432,11028257414,93133580,6,1
4350,55000,59350,10605949410,2296606360,7,1
-2770,23210,25620,150347965330,792985640,-12,-2
420,6030,6630,21670627230,4074141450,6,1
3510,20200,23250,65994111840,1883096600,15,2
2650,18000,21100,95026576050,22181374400,12,2
-230,23200,26750,18348179350,924900630,-2,-1
460,5880,6610,49919765090,3102936080,7,1
227,4013,4504,26016580339,3817219418,5,1
-810,19800,21400,18221129010,649509580,-4,-1
110,7020,7740,28870909870,7718031540,2,1
2080,7620,9000,35491758470,3977998220,25,3
-3270,44540,53850,311741087120,14195082510,-8,-1
510,19490,20520,93619048650,4665939830,2,1
-4030,13470,14550,18778273360,38907350,-30,-3
3550,17400,22140,96783752320,1252567960,17,2
2610,79330,91460,59446914080,1616022000,3,1
2950,15990,17910,92853422240,12254228790,17,2
384,2300,2743,31093356589,2724853646,15,2
320,38210,39280,20758633390,2789233270,1,1
3720,40150,44560,29849134400,1020394630,8,1
26600,0,77450,69204179500,0,39,3
-390,14530,15440,15979834540,1254944420,-3,-1
-7450,0,28150,47438308450,0,-27,-3
840,12330,13210,349689630050,3826856110,6,1
558,0,2766,9739083436,0,20,3
1350,20050,21050,13390078400,1283202200,6,1
350,0,6680,282481824870,0,5,1
420,4267,4870,20439180988,402922138,8,1
830,24600,28690,81072227900,8585537140,3,1
11380,19850,28420,236448700230,30026162050,46,3
4410,27670,29040,28822274690,1243489480,15,2
1370,8460,8940,27222878660,5893216300,16,2
-90,6950,7120,15739160910,978358050,-1,-1
760,5830,6190,100828675480,760147730,12,2
-210,7180,8210,73060705580,1387523950,-3,-1
1670,20070,22340,98969726620,15887512280,7,1
-1840,33200,36470,198482963450,21496144150,-6,-1
3590,0,16070,108878790010,0,24,3
990,9810,10860,26902354130,1540111590,10,1
-1540,17830,21400,215183480380,19313745650,-8,-1
-3580,15060,17180,152319576400,28324542290,-23,-3
2700,0,102800,51998594100,0,2,1
-160,7080,8000,930597225620,217007632040,-2,-1
2480,12800,13900,151949110130,16075964140,18,2
