"changerate","lastmin","lastmax","valmax","valmin","changepercent","degree"
530,0,4091,108774052241,0,16,2
-430,0,11590,28242717530,0,-5,-1
-1800,0,21050,62663685750,0,-10,-1
226,0,1459,153283611660,0,16,2
-80,0,13620,30436413190,0,-1,-1
1730,0,13150,594842715290,0,14,2
3000,0,14880,205284084020,0,22,3
-340,0,12820,145923967730,0,0,-1
2070,0,14100,17429424890,0,15,2
490,0,8560,53014571250,0,6,1
-4530,0,13900,263397293640,0,-37,-3
15650,0,134000,47935761550,0,12,2
-5530,0,74000,145510517880,0,-8,-1
84,0,8100,2404500000,0,1,1
295,0,4170,179942029322,0,7,1
-2050,0,25650,25629460250,0,-9,-1
-1550,0,27440,199872912360,0,-8,-1
-1520,0,22200,44327232950,0,-5,-1
-7550,0,38450,64636389700,0,-21,-3
-1520,0,8870,30591092780,0,-18,-2
2050,0,99500,112285027000,0,2,1
-20,0,11250,2991891210,0,0,-1
1530,0,9630,69140033820,0,17,2
40,0,8600,33137482500,0,0,1
3150,0,23200,36215483200,0,14,2
-130,0,14860,4558471140,0,-1,-1
305,0,1523,209831331175,0,23,3
-1970,0,40000,14992000,0,-5,-1
321,0,2339,157207956324,0,15,2
1396,0,6450,963518783010,0,25,3
460,0,6020,67362083520,0,8,1
307,0,3003,25173918129,0,11,2
-11270,0,62010,348674623150,0,-21,-3
-230,0,6520,6240000000,0,-4,-1
530,0,11650,63042513010,0,4,1
224,0,820,72235180961,0,29,3
-44150,0,295500,10119318950,0,-15,-2
27700,0,52050,1199317543700,0,59,3
4070,0,20060,339470784030,0,22,3
1175,0,5730,470176340570,0,22,3
362,0,3885,445683003882,0,10,2
-108900,0,270100,1281761250,0,-41,-3
2600,0,36000,22304508850,0,7,1
-7900,0,38750,43566425700,0,-21,-3
-63,0,1912,348997044089,0,-5,-1
-346,0,5320,188995939700,0,-7,-1
-260,0,7170,842260883260,0,-4,-1
124100,0,160000,2818880000,0,91,3
-13150,0,43150,9152813400,0,-31,-3
-398,0,4050,544902754500,0,-10,-2
-1650,0,11560,8410860720,0,-15,-2
-77,0,3542,37404360156,0,-3,-1
856,0,4281,83835508621,0,21,3
264583,0,291750,59933298384,0,91,3
341,0,2023,260313869552,0,18,2
48100,0,273300,46604874700,0,18,2
-4490,0,20590,275292326180,0,-24,-3
-390,0,8610,6164867610,0,-5,-1
1020,0,11630,183962604300,0,9,1
4250,0,38850,38850000,0,11,2
